,Coin,Cycle,Future,CycleLength,pnl,carryPnl,basisPnl,pnlSellCarry,carryPnlSell
0,BTCUSD,20200925,20200925,45.0,-1.2395389781779893,0.8762322578107512,-2.1157712359887406,-1.1322768148942486,0.9834944210944919
1,BTCUSD,20200925,20201225,45.0,-1.9172461402563643,0.8762322578107512,-2.7934783980671156,-1.8099839769726236,0.9834944210944919
2,ETHUSD,20200925,20200925,38.0,-1.2924826121150794,0.7950949715714499,-2.0875775836865293,-0.9634484809421155,1.1241291027444138
3,ETHUSD,20200925,20201225,38.0,-2.8297857334534866,0.7950949715714499,-3.6248807050249368,-2.500751602280523,1.1241291027444138
4,ADAUSD,20200925,20200925,30.0,-0.4651551421539149,-0.6372424167042776,0.1720872745503627,-0.3782271896563209,-0.5503144642066836
5,ADAUSD,20200925,20201225,19.0,-0.14232264013048912,-0.8868760100725015,0.7445533699420124,-0.13571239920207745,-0.8802657691440898
6,LINKUSD,20200925,20200925,37.0,0.32245079590791326,2.4440604940877293,-2.121609698179816,1.5358445140238755,3.6574542122036915
7,LINKUSD,20200925,20201225,19.0,1.7417718383406036,0.37638414105760604,1.3653876972829975,1.7771390010210124,0.411751303738015
8,BTCUSD,20201225,20201225,90.66666666666667,4.6449593464712535,6.269624704655283,-1.6246653581840291,2.7468049497926916,4.371470307976721
9,BTCUSD,20201225,20210326,90.33333333333333,8.033122912805478,6.247340858153132,1.7857820546523462,6.147253409719853,4.361471355067507
10,ETHUSD,20201225,20201225,90.66666666666667,3.9757002955643106,5.677123493545258,-1.701423197980947,2.881793220252592,4.5832164182335395
11,ETHUSD,20201225,20210326,90.33333333333333,6.738138558943003,5.659049296947905,1.0790892619950987,5.652299477487617,4.573210215492518
12,LTCUSD,20201225,20201225,23.666666666666668,0.05400822899736313,1.4058042130409765,-1.3517959840436133,-0.12029731879887673,1.2314986652447366
13,LTCUSD,20201225,20210326,23.666666666666668,0.8817639895327734,1.4058042130409765,-0.5240402235082031,0.7074584417365335,1.2314986652447366
14,BCHUSD,20201225,20201225,21.666666666666668,0.7696315300777048,1.4258618292028742,-0.6562302991251694,0.8284668636800874,1.4846971628052568
15,BCHUSD,20201225,20210326,21.666666666666668,0.8871988217555844,1.4258618292028742,-0.5386630074472898,0.946034155357967,1.4846971628052568
16,ADAUSD,20201225,20201225,90.66666666666667,0.5507559943330151,1.8614901224351406,-1.3107341281021254,0.4083788439722549,1.7191129720743803
17,ADAUSD,20201225,20210326,90.33333333333333,1.7380073827345168,1.8458046405523487,-0.10779725781783195,1.6026024579359144,1.7103997157537463
18,LINKUSD,20201225,20201225,90.66666666666667,-0.35120612153997044,1.3137349950333086,-1.664941116573279,0.02925008040832955,1.6941911969816086
19,LINKUSD,20201225,20210326,90.33333333333333,0.8598039941778214,1.3016902565329933,-0.4418862623551719,1.2423239432380728,1.6842102055932449
20,DOTUSD,20201225,20201225,50.333333333333336,1.8133733671339896,3.1899111086539396,-1.37653774151995,1.7909533225815608,3.167491064101511
21,DOTUSD,20201225,20210326,50.333333333333336,3.540896340678799,3.1899111086539396,0.3509852320248592,3.5184762961263703,3.167491064101511
22,XRPUSD,20201225,20201225,24.333333333333332,-1.8249532464712024,-1.2914899950553793,-0.5334632514158232,-2.0025701913883034,-1.4691069399724803
